id,עיר,שכונה,מספר חדרים,"מחיר (ש""ח)",מרפסת,"ממ""ד",מחסן,מעלית,גישה לנכים,מזגן,בית פרטי,מותר לבעלי חיים,חניה,נוף לים,משופצת,סורגים,קומה,"גודל (מ""ר)",קישור לתמונה
1,תל אביב,פלורנטין,3,2000,1,0,1,1,0,1,0,1,1,0,1,1,1,165,https://img.yad2.co.il/Pic/202402/13/2_1/o/y2_1_01880_20240213212559.jpeg?w=1080&h=1080&c=9
2,תל אביב,פלורנטין,2,1500,0,0,1,0,1,1,0,1,0,1,0,1,3,125,https://img.yad2.co.il/Pic/202403/18/2_5/o/y2_1_995419_20240318.jpg?w=1200&h=1200&c=9
3,ירושלים,רחביה,4,2500,1,0,0,1,1,1,0,1,1,0,1,0,4,265,https://img.yad2.co.il/Pic/202403/14/2_1/o/y2_1_05389_20240314112441.jpeg?w=1080&h=1080&c=9
4,חיפה,דניה,3,1800,1,1,1,1,1,1,0,0,1,1,1,1,5,185,https://img.yad2.co.il/Pic/202403/02/2_1/o/y2_3_03727_20240302234244.jpeg
5,תל אביב,פלורנטין,5,3000,1,0,1,1,0,1,1,1,1,0,0,1,0,225,https://img.yad2.co.il/Pic/202402/26/2_5/o/y2_1pa_010610_20240226094219.jpeg?w=1080&h=1080&c=9
6,ירושלים,רחביה,4,2800,0,0,1,1,1,1,0,0,1,0,0,1,1,260,https://img.yad2.co.il/Pic/202402/17/2_1/o/y2_1pa_010362_20240217184722.jpeg?w=640&h=640&c=9
7,חיפה,דניה,3,1600,0,0,1,0,1,1,1,1,1,1,1,0,0,165,https://img.yad2.co.il/Pic/202403/28/2_1/o/y2_1_07240_20240328161128.jpeg?w=1080&h=1080&c=9
8,תל אביב,פלורנטין,2,1400,1,0,0,0,1,1,0,0,0,0,1,1,1,95,https://yeshnadlan.co.il/wp-content/uploads/2020/10/1-1.jpg
9,ירושלים,רחביה,3,2200,0,0,1,1,1,1,0,1,1,1,1,1,1,125,https://img.yad2.co.il/Pic/202402/22/2_5/o/y2_1pa_010063_20240222140829.jpeg?w=1080&h=1080&c=9
10,חיפה,דניה,4,2000,1,0,1,1,0,1,1,0,1,0,0,1,0,165,https://img.yad2.co.il/Pic/202403/07/2_1/o/y2_1pa_010727_20240307195953.jpeg?w=1080&h=1080&c=9
11,תל אביב,פלורנטין,2,1300,0,0,0,0,1,0,0,0,0,0,1,0,5,72,https://img.yad2.co.il/Pic/202403/19/2_1/o/y2_3_02129_20240319120441.jpeg
12,ירושלים,רחביה,3,1800,1,0,1,0,0,1,1,1,1,0,1,1,0,95,https://img.yad2.co.il/Pic/202402/04/2_1/o/y2_1pa_010550_20240204211852.jpeg?w=1080&h=1080&c=9
13,חיפה,דניה,5,2800,1,1,1,1,1,1,0,1,1,1,1,1,5,220,https://img.yad2.co.il/Pic/202403/27/2_1/o/y2_1pa_010088_20240327184916.jpeg?w=1080&h=1080&c=9
14,תל אביב,פלורנטין,4,3200,1,0,1,1,1,1,0,1,1,0,1,1,3,180,https://img.yad2.co.il/Pic/202402/08/2_1/o/y2_1_07930_20240208194321.jpeg?w=640&h=640&c=9
15,ירושלים,רחביה,3,3500,1,0,0,0,1,1,0,0,0,1,0,1,4,160,https://img.yad2.co.il/Pic/202403/05/2_5/o/y2_2_dOm5ZVQHmd_20240305.jpg?w=1080&h=1080&c=9
16,חיפה,דניה,2,1200,0,0,0,0,0,1,0,1,0,0,0,0,3,80,https://img.yad2.co.il/Pic/202312/05/2_5/o/y2_1pa_010251_20231205125650.jpeg?w=640&h=640&c=9
17,תל אביב,פלורנטין,3,2200,0,1,1,1,1,1,1,1,1,0,1,1,0,125,https://img.yad2.co.il/Pic/202401/29/2_1/o/y2_1pa_010902_20240129114920.jpeg?w=1080&h=1080&c=9
18,ירושלים,רחביה,4,2400,1,0,1,0,0,1,0,1,1,1,0,0,4,165,https://img.yad2.co.il/Pic/202403/21/2_6/o/y2_1pa_010373_20240321111124.jpeg?w=1080&h=1080&c=9
19,חיפה,דניה,3,1800,0,0,0,0,1,1,0,0,1,0,0,0,1,90,https://img.yad2.co.il/Pic/202401/08/2_6/o/y2_1pa_010626_20240108122341.jpeg?w=1080&h=1080&c=9
20,תל אביב,פלורנטין,4,2600,1,1,1,1,1,1,0,1,1,1,1,1,4,180,https://img.yad2.co.il/Pic/202403/21/2_6/o/y2_1pa_010101_20240321155001.jpeg
21,ירושלים,רחביה,3,2000,1,0,1,0,0,1,1,0,1,0,0,1,0,125,https://img.yad2.co.il/Pic/202311/09/2_6/o/y2_3_GlC5cgpxse_20231109.jpeg?w=1080&h=1080&c=9
22,חיפה,דניה,2,1300,0,0,1,0,1,1,0,1,0,0,0,1,5,72,https://img.yad2.co.il/Pic/202310/30/2_6/o/y2_1_zsPUePJWk4_20231030.jpg?w=1080&h=1080&c=9
23,תל אביב,פלורנטין,3,1800,1,0,1,1,0,1,1,1,1,1,1,1,0,95,https://img.yad2.co.il/Pic/202403/07/2_6/o/y2_1pa_010506_20240307193838.jpeg?w=1080&h=1080&c=9
24,ירושלים,רמות,4,2300,0,0,0,1,1,1,0,0,1,1,0,1,4,180,https://www.korenfld.com/wp-content/uploads/2018/02/dailyrent1-850x570.jpeg
25,חיפה,דניה,3,1700,1,0,1,0,1,1,0,1,1,0,1,1,1,90,https://www.homepic.co.il/wp-content/uploads/2023/01/WhatsApp-Image-2021-03-10-at-09.38.07.jpeg
26,תל אביב,הדר יוסף,5,3000,1,1,1,1,1,1,0,0,1,1,0,1,3,265,https://www.luah1.co.il/wp-content/uploads/2024/03/494610-rotated-e1710248930943.jpeg
27,ירושלים,רמות,4,1900,0,0,1,1,0,1,1,1,0,0,1,1,0,160,https://img.yad2.co.il/Pic/202311/27/2_5/o/y2_1_TXZJI91ter_20231127.jpg?w=1080&h=1080&c=9
28,חיפה,בת גלים,2,1500,0,0,1,0,1,1,0,0,0,1,0,0,4,80,https://images2.madlan.co.il/t:nonce:v=2;resize:height=328;convert:type=webp/bulletins%2F%D7%97%D7%93%D7%A8%20%D7%A9%D7%99%D7%A0%D7%94%201-0f64a3a6-4a0a-4803-8682-d8db0997e820.jpg
29,תל אביב,הדר יוסף,4,2800,1,0,1,1,1,1,0,1,1,0,1,1,4,200,https://img.yad2.co.il/Pic/202403/13/2_2/o/y2_1pa_010124_20240313174632.jpeg?w=1080&h=1080&c=9
30,ירושלים,רמות,3,2100,1,0,1,1,1,1,0,0,1,1,1,1,1,160,https://img.yad2.co.il/Pic/202403/24/2_6/o/y2_1pa_010181_20240324112425.jpeg?w=1080&h=1080&c=9
31,חיפה,בת גלים,5,3200,1,1,1,1,1,1,0,1,1,1,1,1,3,275,https://img.yad2.co.il/Pic/202403/17/2_6/o/y2_4_WXt62R9xbf_20240317.jpeg?w=1080&h=1080&c=9
32,תל אביב,הדר יוסף,4,3200,1,0,1,1,1,1,0,1,1,1,1,1,5,260,https://img.yad2.co.il/Pic/202403/03/2_5/o/o2_5_6_09910_20240303155451.jpg?w=1080&h=1080&c=9
33,ירושלים,רמות,3,1800,1,0,1,0,1,1,1,1,1,0,0,1,0,160,"https://static.wixstatic.com/media/8148cc_444f4d810bb7409fa3bfd37955ac50a4~mv2.jpg/v1/fill/w_640,h_900,al_b,q_85,usm_0.66_1.00_0.01,enc_auto/8148cc_444f4d810bb7409fa3bfd37955ac50a4~mv2.jpg"
34,חיפה,בת גלים,2,1400,0,0,1,0,1,1,0,0,1,0,0,0,1,72,https://img.yad2.co.il/Pic/202402/07/2_5/o/y2_1pa_992685_20240207145228.jpeg?w=1080&h=1080&c=9
35,תל אביב,הדר יוסף,3,1900,0,0,0,0,0,1,0,1,0,0,0,1,3,160,https://img.yad2.co.il/Pic/202403/27/2_5/o/o2_5_1_09754_20240327162626.jpg
36,ירושלים,רמות,4,2500,1,1,1,1,1,1,0,1,1,0,1,1,3,265,https://img.yad2.co.il/Pic/202403/03/2_1/o/y2_1pa_010968_20240303122507.jpeg
37,חיפה,בת גלים,3,1800,1,0,1,1,0,1,0,1,0,0,1,0,1,145,https://img.yad2.co.il/Pic/202403/07/2_5/o/y2_1_K57gxCD2UX_20240307.jpeg
38,תל אביב,בבלי,2,1600,0,0,0,0,1,1,0,0,1,0,1,0,1,72,https://img.yad2.co.il/Pic/202308/06/2_5/o/y2_2_6L3pFSW60i_20230806.jpg
39,ירושלים,רמות,5,3000,1,1,1,1,1,1,0,1,1,1,1,1,1,285,https://img.yad2.co.il/Pic/202309/02/2_1/o/y2_1_05719_20230902210913.jpeg
40,חיפה,נווה שאנן,3,2000,1,0,1,0,0,1,1,1,0,0,1,0,0,165,https://img.yad2.co.il/Pic/202403/03/2_5/o/y2_1pa_010978_20240303171844.jpeg
41,תל אביב,בבלי,4,2800,1,1,1,1,1,1,0,1,1,1,1,1,5,255,https://img.yad2.co.il/Pic/202402/19/2_1/o/y2_1pa_010352_20240219160827.jpeg
42,ירושלים,תלפיות,3,1800,0,0,1,1,1,1,0,1,1,0,1,1,4,155,https://img.yad2.co.il/Pic/202402/28/2_5/o/y2_1pa_992967_20240228120900.jpeg
43,חיפה,נווה שאנן,2,1500,0,0,1,0,1,1,0,0,1,1,0,1,1,85,https://img.yad2.co.il/Pic/202310/11/2_5/o/y2_2_OiyfkUvrCv_20231011.jpg
44,תל אביב,בבלי,3,2000,1,0,0,1,0,1,0,0,1,0,1,0,4,160,https://img.yad2.co.il/Pic/202401/28/2_5/o/y2_1pa_010576_20240128131349.jpeg
45,ירושלים,תלפיות,4,2300,0,0,1,1,1,1,1,1,1,1,1,1,0,255,https://img.yad2.co.il/Pic/202403/26/2_1/o/y2_1pa_010917_20240326172345.jpeg
46,חיפה,נווה שאנן,3,1700,0,0,0,0,1,1,0,0,1,0,0,0,4,150,https://img.yad2.co.il/Pic/202403/06/2_5/o/y2_1pa_010786_20240306120539.jpeg
47,תל אביב,בבלי,5,3000,1,1,1,1,1,1,0,1,1,1,0,1,4,285,https://img.yad2.co.il/Pic/202312/20/2_5/o/y2_1pa_010576_20231220100515.jpeg
48,ירושלים,תלפיות,3,2100,1,0,1,1,0,1,1,1,1,0,1,1,0,165,https://img.yad2.co.il/Pic/202403/26/2_5/o/y2_1_uB7eVlprPS_20240326.jpg
49,חיפה,נווה שאנן,2,1500,0,0,1,0,1,1,0,0,0,1,0,0,5,80,https://img.yad2.co.il/Pic/202308/11/2_5/o/y2_2_CRuFcBI_GQ_20230811.jpg
50,תל אביב,בבלי,4,2800,1,0,1,1,1,1,0,1,1,0,1,1,1,265,https://img.yad2.co.il/Pic/202403/28/2_5/o/y2_1pa_010047_20240328141914.jpeg
51,ירושלים,תלפיות,3,2100,1,0,1,1,0,1,1,1,1,0,1,1,0,160,https://img.yad2.co.il/Pic/202308/01/2_5/o/y2_1_fBLeOS9b_Y_20230801.jpeg
